,State,Abbreviation,Postalcode
0,Alabama,Ala.,AL
1,Alaska,Alaska,AK
2,American Samoa,,AS
3,Arizona,Ariz.,AZ
4,Arkansas,Ark.,AR
5,California,Calif.,CA
6,Colorado,Colo.,CO
7,Connecticut,Conn.,CT
8,Delaware,Del.,DE
9,Dist. of Columbia,D.C.,DC
10,Florida,Fla.,FL
11,Georgia,Ga.,GA
12,Guam,Guam,GU
13,Hawaii,Hawaii,HI
14,Idaho,Idaho,ID
15,Illinois,Ill.,IL
16,Indiana,Ind.,IN
17,Iowa,Iowa,IA
18,Kansas,Kans.,KS
19,Kentucky,Ky.,KY
20,Louisiana,La.,LA
21,Maine,Maine,ME
22,Maryland,Md.,MD
23,Marshall Islands,,MH
24,Massachusetts,Mass.,MA
25,Michigan,Mich.,MI
26,Micronesia,,FM
27,Minnesota,Minn.,MN
28,Mississippi,Miss.,MS
29,Missouri,Mo.,MO
30,Montana,Mont.,MT
31,Nebraska,Nebr.,NE
32,Nevada,Nev.,NV
33,New Hampshire,N.H.,NH
34,New Jersey,N.J.,NJ
35,New Mexico,N.M.,NM
36,New York,N.Y.,NY
37,North Carolina,N.C.,NC
38,North Dakota,N.D.,ND
39,Northern Marianas,,MP
40,Ohio,Ohio,OH
41,Oklahoma,Okla.,OK
42,Oregon,Ore.,OR
43,Palau,,PW
44,Pennsylvania,Pa.,PA
45,Puerto Rico,P.R.,PR
46,Rhode Island,R.I.,RI
47,South Carolina,S.C.,SC
48,South Dakota,S.D.,SD
49,Tennessee,Tenn.,TN
50,Texas,Tex.,TX
51,Utah,Utah,UT
52,Vermont,Vt.,VT
53,Virginia,Va.,VA
54,Virgin Islands,V.I.,VI
55,Washington,Wash.,WA
56,West Virginia,W.Va.,WV
57,Wisconsin,Wis.,WI
58,Wyoming,Wyo.,WY
